order_id,payment_sequential,payment_type,payment_installments,payment_value
1f78449c87a54faf9e96e88ba1491fa9,1,credit_card,6,341.09
95442deb81a5d91c97c0df96b431634a,1,boleto,1,368.98
96cc8c42014ddb42a775da9a45ae3f76,1,credit_card,2,203.3
18259631aab7299bf25f83f5eac4c8d1,1,credit_card,4,220.3
62d9b911d7c56cf455f660eecb8ddd3a,1,credit_card,10,1002.73
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
fa12564d7462c9a851c79c301bcb97de,1,credit_card,3,103.79
52b5d339bbba7bd8f18ca836ab540227,1,credit_card,1,43.08
3a1a92434eae60a4f44ad7ebef65c3e7,1,credit_card,1,254.58
d9952ada4955694cae66806b7d5ac6ca,1,credit_card,6,67.58
da46439d7d06cf02cb44d0908ecc3575,1,boleto,1,41.86
bedff73fa5a137527ba9314cac93b7b3,2,voucher,1,35.0
ada812c7806382c3085a5f5024bc17ca,1,boleto,1,37.25
fb6343faebbbee8c21d59d4ae59477a8,1,boleto,1,143.86
e74c5411558a7a26de918d23a07e1cef,1,debit_card,1,42.86
a132f4bdf1eb9803546cef73ca7bd322,1,credit_card,1,69.16
ad6137b47c7f7c1c621f4de13c3d5bc9,1,credit_card,2,145.9
cbe9e2376e5d8de3c057ed58a638403d,1,credit_card,1,62.42
b4d7995506859f96187970c8275ee66c,1,credit_card,8,540.02
fa625c35a56d989b379939bae9bc9b2a,1,credit_card,1,63.89
c5bb91ea2129a21a4f424d356a4d28fa,1,credit_card,4,243.62
f6879e8e12a44ceb4c422c23489a029d,1,credit_card,8,180.91
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
9b790ca446b8e28ce5e4382959f6b7df,1,credit_card,2,257.21
4197f94f8bddd171804b1360fa78d368,1,credit_card,1,47.95
c51937c0ea3f397cbf08be8fbdce3730,1,credit_card,6,148.18
2c9d0e7a53245b11b39d47e84b3d7ac9,1,credit_card,5,105.94
44c5dae14c55309b097d6c510ef1a986,1,credit_card,4,356.9
2d609a52d61c0a90d5e88a143630bc7f,1,boleto,1,164.01
6424ddd05ffee73de1df9f8f9d1bfc25,1,credit_card,3,91.21
